"","product_name","brand","description","series","attribute","label","rate","popularity","fire","purchase","price"
"1","睡美人香氛水凝膜(淨亮保濕升級版)","LANEIGE 蘭芝","睡美人香氛水凝膜 銀河夢境限定版
經典的晚安面膜，使用特殊絢光打印效果將星點幻彩的漸層效果印在產品盒身，歡樂的耶誕，讓臉上肌膚亮出閃耀動人之姿。
100ml/NT$990 (原價NT$1,414) 
(2016.11限量上市)

 

精準針對夜間黃金美容時段，透過LANEIGE蘭芝獨家晚安淨化科技SleeptoxTM 有效淨化修護肌膚，包膜鎖水科技Moisture WrapTM長效保濕鎖水達八小時，更能穩定兩大淨化肌因成分：罕薩杏桃精萃與月見草根精萃，持續深層淨化；專利好眠香氛SleepscentTM有效促進睡眠品質，睡眠美容功效更加倍；溫和配方有效減輕因日間壓力造成的肌膚泛紅敏感現象。
使用方法：每週使用2至3次，亦可每晚連續使用加強修護。
(2015.04.01上市)
","特別護理","保養面膜","改善粉刺、改善暗沉、韓國、修護、滋潤、保濕、不黏膩、不油膩、溫和、明亮、不致粉刺、好吸收、香氣怡人、好上手、乾爽、免水洗式、潤澤肌、補水面膜、舒緩敏感、美白保養品",6.1,107374,202,391,990
"2","Saborino早安面膜","BCL",NA,"Saborino系列","保養面膜","改善暗沉、日本、保濕、不黏膩、溫和、明亮、好吸收、服貼、好上手、清涼感、清新、乾爽、片狀、潤澤肌、舒緩敏感、美白保養品、J-Beauty",5.6,16403,34,57,175
"3","水潤保濕修護面膜","MINON AMINO MOIST 蜜濃","2018.10限量上市 美樂蒂保濕面膜聯名限定款 
指定通路販售: 實際開賣日期依各通路檔期為主
康是美, 日藥本舖, Tomods, 松本清台隆手創館, @cosme store
","臉部保養系列","保養面膜","改善粉刺、改善細紋、自然無負擔、改善暗沉、彈力、得賞品、日本、柔嫩、豐盈、滋潤、保濕、不黏膩、不油膩、溫和、明亮、不致粉刺、改善細紋、無負擔、好吸收、服貼、乾爽、彈力、飽滿、改善乾燥、片狀、@cosme store、潤澤肌、補水面膜、舒緩敏感、抗老保養、美白保養品、J-Beauty",6,58014,190,147,515
"4","細緻光O2活氧膜","我的美麗日記","OxypumpTM活氧科技
氧，是維持肌膚代謝力的關鍵因子。«我的美麗日記面膜實驗室»首創OxypumpTM有氧水感精華，注入歐美專利活力分子氧，以獨特專門的包覆傳導技術搭載，強化分子氧於配方中的穩定性，供給肌膚毫無保留的氧份。快速活化肌膚能量，促進老廢角質代謝更新，由內而外氧出晶透光澤。

高效淨白初生精萃
控溫、控光環境下生長的胭脂花初芽精萃活性，協同富含多醣類的非洲聖樹Baobab 萃取，能促進彈力因子生成，調理乾燥粗糙紋理，撫平動態細紋，讓肌膚再綻初生般的細緻透亮。添加經高溫蒸餾淬鍊出的大馬士革玫瑰純露，富含維生素B、E，維持膚色勻稱亮采，封存自然好氣色。

植鏈纖維伸縮布膜
加壓超導 獨特改質技術增長植物纖維的分子結構，形成極細纖維鏈(Chain Fibre)，可自然分解於環境。
柔軟貼膚 由纖維鏈交織而成的布膜擁有大量微細孔，具備極佳的延展性與保水性能，觸感柔軟超貼膚。
環境友善 加壓導入滿滿精華，幫助提升保養成份的吸收。

 
","其他","保養面膜","改善粉刺、自然無負擔、改善暗沉、彈力、台灣、柔嫩、保濕、不黏膩、溫和、明亮、自然、不致粉刺、無負擔、好吸收、服貼、好氣色、乾爽、彈力、細緻、片狀、潤澤肌、舒緩敏感、抗老保養、美白保養品",5.6,8356,22,6,299
"5","微磁導入緊緻面膜套裝","OLAY 歐蕾","全球美肌領導品牌OLAY，突破傳統面膜限制，革命性推出微磁導入緊緻面膜 – 創新以微米級面膜精華搭配微磁導入儀，透過澳洲專利『微磁導入科技』，運用微磁波力量，將面膜精華推進肌底，達到3倍深層滲透，令肌膚緊緻飽滿、彈嫩水潤、淡化細紋，推進水潤緊緻新境界。
","其他","保養面膜","改善粉刺、改善細紋、水煮蛋肌、改善暗沉、美國、柔嫩、滋潤、保濕、不黏膩、不油膩、溫和、明亮、緊緻毛孔、不致粉刺、改善細紋、好吸收、淡化、香氣怡人、好上手、乾爽、飽滿、潤澤肌、補水面膜、舒緩敏感、抗老保養、美白保養品",5.5,15921,47,6,1099
"6","補水精華凝乳面膜","WELLFON 薇風面膜","熬夜等因素導致肌膚水分流失加速，粗糙、幹澀無光等問題接踵而至。妝難貼臉，想上妝修飾都不能如意。
薇風補水精華凝乳面膜，三重玻尿酸合力水潤修護肌膚，幫助還原肌膚細膩瑩潤光澤。
從醫美藥用成分中獲得靈感，匯聚小、中、大三分子玻尿酸及彈力蛋白、膠原蛋白，採用載體技術包裹，能深入補充肌膚水分，提升肌膚儲水力，同時促進肌膚修護；並能于肌膚表面形成隱形保護膜，幫助提升肌膚保濕防護力。更有乳液質地精華，升級肌膚鎖水力，令肌膚柔滑水潤，光彩依舊。
適用膚質：一般膚質皆適用，特別適用于熬夜/晚睡人群肌膚護理。

 
","面膜系列","保養面膜","改善粉刺、自然無負擔、改善暗沉、彈力、柔嫩、修護、滋潤、保濕、不黏膩、溫和、明亮、不致粉刺、無負擔、好吸收、服貼、乾爽、彈力、修飾、片狀、潤澤肌、補水面膜、舒緩敏感、抗老保養、美白保養品",5.4,1433,10,1,550
"7","微磁導入水潤面膜套裝 MAGNEMASKS HYDRATING STARTER KIT","OLAY 歐蕾","全球美肌領導品牌OLAY，突破傳統面膜限制，革命性推出微磁導入緊緻面膜 – 創新以微米級面膜精華搭配微磁導入儀，透過澳洲專利『微磁導入科技』，運用微磁波力量，將面膜精華推進肌底，達到3倍深層滲透，令肌膚緊緻飽滿、彈嫩水潤、淡化細紋，推進水潤緊緻新境界。
","其他","保養面膜","改善粉刺、水煮蛋肌、改善暗沉、美國、柔嫩、滋潤、保濕、不黏膩、不油膩、溫和、明亮、緊緻毛孔、不致粉刺、好吸收、淡化、香氣怡人、好上手、光滑、乾爽、飽滿、潤澤肌、補水面膜、舒緩敏感、美白保養品",5.4,5139,30,2,1099
"8","柚子柑橘晚安凍膜","SHISEIDO 資生堂-國際櫃","只要10分鐘，就能讓肌膚宛如一夜好眠的膨潤、自然健康狀態。其療癒、舒緩的天然植萃香氛，更能有助提升睡眠品質和放鬆身心靈的狀態！能夠保濕肌膚還原肌膚膨潤狀態。天然植萃複方能夠改善肌膚粗糙，滋潤肌膚防止乾燥並恢復理想健康狀態。

含柚子柑橘萃取物、完整胡蘿蔔植萃，滿滿植萃養分與維他命
亦可用於白天快速急救的補妝
不含Paraben(防腐)、礦物油

商品功效：
有效修護因為壓力、熬夜等造成的肌膚問題，解決乾燥、粗糙，有效保濕鎖水。
睡前使用，睡醒即可恢復容光煥發的飽滿肌膚。

 
","WASO系列","保養面膜","改善粉刺、自然無負擔、改善暗沉、日本、舒緩、修護、滋潤、保濕、不黏膩、不油膩、溫和、明亮、自然、不致粉刺、好吸收、香氣怡人、乾爽、飽滿、改善乾燥、潤澤肌、補水面膜、舒緩敏感、美白保養品、J-Beauty",5.4,5607,38,3,1350
"9","DR.JOU六重玻尿酸深層極保濕面膜 DR. JOU Six Essence Hyaluronic Acid Hydra Mask Sheet","森田藥粧","《榮獲2017歐洲評鑑權威Monde Selection國際品質評鑑大賞》
弱酸性溫和親膚配方‧100%日本進口頂級玻尿酸‧32g精華液添加
濃潤精華液配方1片5功效，簡單保養有效保濕，長時間深層鎖水 
‧高效濃縮保濕精華液：六重玻尿酸(大分子、中分子、小分子、吸附型、修復型及乙基玻尿酸鈉)為基底，結合PCA-Na保濕因子和水茄子、薏仁、絲瓜複合植物精萃，深入肌膚深層補水、包覆皮膚表層鎖水，全面提供肌膚更好的保水力以及更長時間的鎖水力，使肌膚由內而外煥發飽水彈潤。
‧保水強化機制：添加植萃角鯊烷、維生素B5、銀耳萃取，瞬間強大肌膚保水力，解決肌膚的渴。

 
","Dr.Jou","保養面膜","改善暗沉、彈力、滋潤、保濕、不黏膩、溫和、明亮、好吸收、服貼、乾爽、彈力、片狀、潤澤肌、補水面膜、舒緩敏感、抗老保養、美白保養品、弱酸性",5.5,4478,22,6,399
"10","淨白光O2活氧膜","我的美麗日記","OxypumpTM活氧科技
氧，是維持肌膚代謝力的關鍵因子。«我的美麗日記面膜實驗室»首創OxypumpTM有氧水感精華，注入歐美專利活力分子氧，以獨特專門的包覆傳導技術搭載，強化分子氧於配方中的穩定性，供給肌膚毫無保留的氧份。快速活化肌膚能量，促進老廢角質代謝更新，由內而外氧出晶透光澤。

高效淨白初生精萃
控溫、控光環境下生長的桂荏葉初芽精萃活性，蘊含迷迭香酸，可改善暗沉，讓肌膚再綻初生般的淨白透亮。協同摩洛哥橙花純露，減少環境刺激帶給肌膚的不適感，具有極佳的舒緩效果，適合調理敏弱膚質。添加酪梨橄欖複合油，富有肌膚所需的不飽和脂肪酸、維生素A、E，滋養乾燥肌膚，封存自然裸膚力。

植鏈纖維伸縮布膜
加壓超導 獨特改質技術增長植物纖維的分子結構，形成極細纖維鏈(Chain Fibre)，可自然分解於環境。
柔軟貼膚 由纖維鏈交織而成的布膜擁有大量微細孔，具備極佳的延展性與保水性能，觸感柔軟超貼膚。
環境友善 加壓導入滿滿精華，幫助提升保養成份的吸收。

 
","其他","保養面膜","改善粉刺、美白、自然無負擔、改善暗沉、台灣、柔嫩、舒緩、滋養、保濕、不黏膩、不油膩、溫和、明亮、自然、不致粉刺、無負擔、好吸收、服貼、改善暗沉、乾爽、片狀、潤澤肌、舒緩敏感、美白保養品",5.3,3723,25,7,299
