"","product_name","brand","description","series","attribute","label","rate","popularity","fire","purchase","price"
"1","花漾腮紅 Cheek Pop","CLINIQUE 倩碧","2018.07 亞洲限定色
共3色
2017.12新2色
3.5g/NT$880
這兩色就是為了今年冬天存在的保暖驚艷色阿，輕抹一層即讓少女臉紅心跳的秘密無所遁形，立現肌膚白裡透紅微醺感的可樂小花；有如冬日暖身更暖心的冬陽，一筆果實棕上臉，溫暖的棕橘色彷彿內建自然好氣色，暖心輕甜。 無論是喜歡一抹淡淡深紅或是棕橘色系的女孩，今年冬天都可以在倩碧找到專屬於你的秋冬色！

新2色
#07可樂紅 Cola Pop
#10果實棕Fig Pop

(2017.12台北SOGO首賣；12/15限點上市)

2017.08 JA限定
3.5g/NT$880
挑選最熱賣色的小花腮紅，將盒蓋設計與腮紅刻痕都印上Jonathan Adler特有的的幾何圖騰，堪稱隱藏版的的小花腮紅，不管是哪種膚色，都可以以適合的色調，薄薄一層便可打造最適合夏天的渡假妝，讓雙頰染上如同陽光親吻過的痕跡，完美展現迷人紅潤的好氣色。

共2色
#02蜜桃橘
#04櫻花粉

(2017.08限量上市)
","彩妝系列","腮紅","顯色度佳、不易掉色、紅色系、大地色系、裸色系、酒紅色系、橘色系、紫色系、粉色系、桃紅色系、好上手、血色感、紫色腮紅、春季、美國、豐盈、持久、自然、粉嫩、不結塊、服貼、好上手、好上色、顯色、好氣色、細緻、輕盈、液狀、粉狀、微醺酒紅調、春季新品",6.3,192481,417,254,800
"2","巧麗腮紅組 Powder Cheeks","CANMAKE","新色：(PW38)

微粒子粉末輕柔的延展於肌膚上，創造出自然薄透的妝感
在雙頰輕輕撲上腮紅讓表情更溫暖生動。
用法：
以刷子取適量掃過顴骨與下巴。搭配修容與打亮產品使用創造出更鮮明的輪廓。
色號：
(PW05) 橘子粉紅-與膚色相近的顏色創造自然柔和的妝容。
(PW11) 純淨粉紅-適合每個人的顏色，創造女人性化的妝容。
(PW18) 杏桃粉紅-搶眼的亮粉紅色，讓妝容更生動活潑。
(PW20) 粉紅棒棒糖-如少女般的潮紅，創造可愛的表情。
(PW22) 粉紅玫瑰-搭配讓膚色生動的玫瑰粉紅色，呈現無辜的表情。
(PW23) 蜜桃粉紅-讓人想觸碰的雙頰，呈現女孩的可愛印象。
","臉部彩妝","腮紅","橘色系、紫色系、粉色系、桃紅色系、血色感、紫色腮紅、得賞品、日本、柔嫩、自然、薄透、粉狀、@cosme store、J-Beauty",6.1,227366,667,1449,295
"3","晶采淨妍頰彩","SUQQU","2018.11 日本大阪梅田限定
#110萩花 (SHUUKA)
2018.08 花鳥風月秋妝
共2色
2018.07 英國夏季限定版
共1色
2018.01 SS春妝

1色限定
#106華色香HANAIROKA

(2018.01限量上市)

2017.12 英國耶誕限定

#105 TANKOUKA

(2017.12限量上市)
","腮紅系列","腮紅","顯色度佳、不易掉色、紅色系、大地色系、裸色系、橘色系、紫色系、粉色系、金色系、桃紅色系、多色系、好上手、血色感、紫色腮紅、春季、秋季、冬季、日本、柔嫩、柔順、滋潤、持久、明亮、自然、粉嫩、服貼、好上手、好上色、顯色、好氣色、細緻、輕盈、粉狀、秋冬新品、春季新品、2018週年慶、J-Beauty",6.3,97724,177,89,2100
"4","炫色腮紅 Blush","NARS","2018.06 限量版高潮腮紅
8g/NT$1,300
2018.05 珍稀花語系列
限量2色
NT$1,100

2018.02 限量春彩
全新的薄透質地可堆疊炫色腮紅FREE SOUL，細緻的珍珠柔緞光澤，滑順好推，完美融合底妝，打造天生好氣色

#FREE SOUL 珍珠粉紅

(2018.02限量上市)

2018.01粉色再襲系列
4.8g/ NT$1,050

限定4色
#Sex Fantasy柔霧粉
#New Attitude桃粉色
#Final Cut珊瑚橘
#Love豆沙粉

(2018.01限量上市)


2017.11 MAN RAY限量聯名聖誕彩

NT$1,050

NARS 擁有業界最令人讚賞的腮紅產品，變化出適合各種深淺膚色的頰彩色調 ，宛若從肌膚底層散發出的自然紅暈，讓雙頰總是呈現健康美麗氣色! 

 

共2色  

#Intensely甜橙橘

#Fetishized葡萄柚粉

 

(2017.11限量上市)
","頰彩","腮紅","顯色度佳、不易掉色、橘色系、粉色系、桃紅色系、得賞品、春季、夏季、秋季、冬季、日本、法國、柔嫩、持久、明亮、自然、粉嫩、顯色、好氣色、閃爍、薄透、細緻、粉狀、2018週年慶、J-Beauty",6.4,114077,1164,1664,1000
"5","絲柔戚風頰彩","SWEETS SWEETS","創造彷彿沒上妝，肌膚底層卻透出像戚風蛋糕般粉粉嫩嫩，帶有光澤的氣色。
讓肌膚也享受美味的成份，添加了蜂蜜、蘋果萃取物、葡萄柚果實萃取物保濕成分。觸感柔軟、色彩輕柔，利用光線反射呈現柔焦效果，讓毛孔和小細紋變得較不明顯。珍珠微粒子讓肌膚帶有自然光澤感，呈現優雅氣質。附腮紅刷。
共6色：01小紅莓、02覆盆子、03蜜桃、04芒果、05柑橘、06焦糖

(2014.07上市)

 
","彩妝系列","腮紅","顯色度佳、不易掉色、好上手、得賞品、柔嫩、保濕、持久、自然、粉嫩、不結塊、服貼、好上手、好上色、顯色、細緻、柔焦、粉狀、@cosme store",6,55989,82,52,440
"6","經典光影雙色胭脂","BOURJOIS 妙巴黎","妙巴黎經典商品，精選各國熱賣色號。馬卡龍造型，內附立體腮紅刷，雙色打造自然、乾淨又立體小臉效果，雙頰閃耀細緻光澤與好氣色。

 
","臉部彩妝","腮紅","顯色度佳、不易掉色、裸色系、粉色系、好上手、新品、法國、持久、自然、乾淨、服貼、好上手、好上色、顯色、好氣色、細緻、@cosme store",5.3,4948,30,2,395
"7","花漾戀愛修容組","CANMAKE",NA,"臉部彩妝","腮紅","顯色度佳、不易掉色、紅色系、橘色系、粉色系、好上手、血色感、日本、持久、明亮、自然、粉嫩、服貼、好上手、顯色、好氣色、細緻、粉狀、@cosme store、J-Beauty",6.1,159557,165,311,410
"8","蜜光修容 CHEEKY CHIC BLUSH","THREE","2017.11 紅葉漫舞限定
NT$1,100

全2色
#M01 DRESSED IN LEAVES 
令雙頰略帶紅暈，賦予整體粧容澄澈感的秋橙珊瑚

#M02 SINGING LEAVES 
猶如初染秋色的樹葉，清新紅調的楓紅玫瑰

(2017.11限量上市)
","POINT MAKEUP","腮紅","顯色度佳、不易掉色、紅色系、裸色系、酒紅色系、橘色系、粉色系、好上手、血色感、得賞品、春季、秋季、日本、柔嫩、柔順、豐盈、滋潤、持久、明亮、自然、粉嫩、服貼、好上手、顯色、光滑、好氣色、清新、薄透、細緻、輕盈、粉狀、微醺酒紅調、2018週年慶、J-Beauty",6.3,120625,198,117,1100
"9","時尚宣言訂製腮紅","YSL 聖羅蘭","2018.08 闇紫誘惑
共2色
","臉部彩妝","腮紅","不易掉色、紅色系、裸色系、橘色系、粉色系、桃紅色系、血色感、法國、持久、自然、服貼、光滑、清新、粉狀",5,1963,40,3,1900
"10","蒲公英星空蜜粉","Benefit","細緻的珠光粉末，揉和淡淡的粉紅色光采，不只能提亮顴骨和鼻樑，使五官表情更立體，也能疊刷在蒲公英蜜粉後，精緻的香檳粉紅使你的雙頰更加閃閃動人！

(2017.04上市)
","假裝易容術","腮紅","顯色度佳、好上手、美國、自然、好上手、好上色、細緻、提亮",5.2,5107,35,11,1200
"11","絲柔幻色頰彩 BLEND COLOR CHEEKS","VISEE","利用3種腮紅色彩與親膚柔光色澤打造粉嫩光影，實現混血兒般容顏。
添加柔金光感粒子展現臉部立體效果。
輕輕一刷從裡到外透出自然好氣色。
含美容油成分的細緻粉體緊密服貼於臉頰肌膚。
高密著性，即使流汗出油也不易脫粧，長時間絕佳持粧效果。
添加美容成分、給予肌膚滋潤，預防肌膚乾燥。
使用觸感柔軟的天然馬毛大面積修容平刷，能均勻地為雙頰上色。
無香料。
8色:
PK-1珊瑚粉紅、RD-2嬌豔桃紅、BE-3鮭魚裸粉、PK-4豆沙粉色、PK-5甜蜜粉紅、OR-6蜜桃橙橘、BE-7杏桃裸色、BE-8黃金咖啡
(2015.07上市)
北市衛粧廣字第104060253號
","CHEEKS","腮紅","顯色度佳、不易掉色、好上手、得賞品、日本、柔嫩、滋潤、持久、自然、粉嫩、服貼、好上手、顯色、好氣色、細緻、粉狀、無香料、J-Beauty",6.1,113924,179,304,380
"12","漸層薰染腮紅","MAYBELLINE 媚比琳","由深到淺的漸層色澤能夠輕鬆打造自然立體臉蛋，輕輕一刷不僅能展現自然無瑕好氣色，也能擁有澎潤透亮的立體雙頰！藉由自由混搭色澤，可愛抑或率氣，都能藉由一盤腮紅創造不同時尚態度的妝感!

漸層淺色部分含有少量細緻珠光粒子，漸層深色含有細緻飽和色澤，無論單刷或是恣意混和漸層色澤，都能為兩頰染上柔和的顏色，營造紅潤通透的透亮感，不僅能創造好氣色也能讓雙頰更具有立體光澤，雙頰瞬間變得亮麗活潑！！

添加細緻柔滑粉末，色彩能輕柔貼合肌膚，不易浮粉 ; 搭配高發色粒子，能持久顯色，維持一整天的好氣色。

共四色
#Afterglow夕陽之吻龐
#Kissbite 怦然心動
#Tickled Pink情竇初開
#Next to nude 微醺之夜

(2017.07上市)
","腮紅修容系列","腮紅","顯色度佳、不易掉色、紅色系、橘色系、粉色系、血色感、美國、柔嫩、柔順、持久、明亮、自然、顯色、好氣色、閃爍、細緻、提亮、粉狀",5.7,38168,112,41,460
"13","蒲公英蜜粉盒 dandelion","Benefit","蜜粉、腮紅兩用的彩妝聖品。同時是全美網路票選最漂亮的粉紅色，能讓肌膚呈現紅潤自然好氣色，透明輕薄帶有淡淡粉紅色的細緻粉末，給全臉粉粉嫩嫩好妝感，散發戀愛氛圍。 
","假裝易容術","腮紅","蜜粉餅、得賞品、美國、明亮、自然、粉嫩、好氣色、薄透、細緻、粉狀、裸妝、2018週年慶",6.1,55164,393,665,1200
"14","心機星魅舞色頰彩","SHISEIDO 資生堂-東京櫃","打造美人印象的「戀愛區域」，融合色澤的紅潤感5色5質感的頰彩，輕輕一刷宛如從肌膚內透出自然紅潤感。共2色RD100珊瑚紅色調PK200蜜桃紅色調(2015.02上市)","心機彩粧系列","腮紅","顯色度佳、不易掉色、好上手、春季、日本、持久、明亮、自然、粉嫩、服貼、好上手、顯色、好氣色、細緻、粉狀、J-Beauty",6,31452,75,56,1100
